id,context,question,option_a,option_b,option_c,option_d,correct_answer
54,"Instrucțiunea mașină este o comandă executabilă de procesor, corespunzând unei operații elementare.",Ce reprezintă o instrucțiune mașină?,O secvență de cod sursă necompilată,Un fișier de configurare,O comandă executabilă de procesor,Un fișier binar pentru stocare,C
55,"Ciclul instrucțiunii include pașii de preluare, decodificare și execuție a unei instrucțiuni din memorie.",Care este ordinea corectă a etapelor din ciclul instrucțiunii?,"Load, run, save","Fetch, decode, execute","Execute, decode, fetch","Decode, fetch, execute",B
56,"Un calculator numeric este un dispozitiv electronic capabil să prelucreze, să stocheze și să transmită informații numerice.",Ce funcții principale îndeplinește un calculator numeric?,Execută exclusiv calcule matematice simple,Controlează dispozitivele mecanice,Doar stochează datele temporar,"Prelucrează, stochează și transmite informații numerice",D
57,"Modelul black-box descrie calculatorul ca un sistem cu intrări și ieșiri, fără a evidenția procesele interne.",Ce reprezintă modelul black-box al unui calculator?,O schemă detaliată a procesorului,Un model care descrie doar conexiunile de rețea,O reprezentare a componentelor hardware,Un model care arată doar interacțiunea dintre intrări și ieșiri,D
58,Informația numerică este reprezentată prin semnale discrete care pot lua un număr finit de valori numerice.,Cum este reprezentată informația numerică într-un calculator numeric?,Prin imagini și sunete comprimate,Prin semnale analogice continue,Prin semnale discrete cu valori limitate,Prin simboluri grafice,C
59,"Sistemele de numeratie definesc moduri diferite de reprezentare a numerelor, folosind baze precum 2, 8, 10 sau 16.",Care sunt cele mai utilizate baze de numeratie în informatică?,"1, 2, 3 și 10","2, 8, 10 și 16","4, 7, 9 și 11","3, 5, 9 și 12",B
60,Reprezentarea pozițională a numerelor se bazează pe valoarea cifrei și pe poziția acesteia în cadrul numărului.,Pe ce principiu se bazează reprezentarea pozițională a numerelor?,Pe combinații arbitrare de simboluri,Pe suma simbolurilor utilizate,Pe ordinea alfabetică a cifrelor,Pe valoarea cifrei și poziția sa în număr,D
61,"Arhitectura von Neumann definește componentele fundamentale ale unui calculator: unitatea de calcul, unitatea de control, memoria și dispozitivele de intrare/ieșire.",Ce componente definește arhitectura von Neumann?,"Hard disk-ul, tastatura și imprimanta","Memoria, procesorul grafic și monitorul","Unitatea de calcul, unitatea de control, memoria și I/O","CPU, GPU și placa de sunet",C
62,Unitatea de control gestionează ordinea execuției instrucțiunilor și generează semnalele de comandă necesare procesării.,Care este rolul principal al unității de control?,Controlează ordinea execuției instrucțiunilor și fluxul datelor,Îndeplinește funcții grafice,Stochează informația binară permanent,Execută calcule matematice,A
63,Unitatea aritmetico-logică (ALU) efectuează operațiile logice și aritmetice asupra datelor.,Ce tipuri de operații efectuează unitatea aritmetico-logică (ALU)?,Operații de rețea și afișare,Operații logice și aritmetice,Operații de memorie virtuală,Operații de input/output,B
64,"CPU-ul conține unitatea de control, unitatea de calcul și un set de registre utilizate pentru stocarea temporară a datelor.",Ce componente principale conține CPU-ul?,Unitatea de afișare și unitatea de rețea,Memoria RAM și ROM,"Unitatea de control, unitatea de calcul și registrele",Memoria cache și placa video,C
65,Memoria unui calculator este alcătuită din locații de memorie identificate prin adrese unice.,Cum sunt identificate locațiile de memorie într-un calculator?,Prin nume simbolice,Prin valori binare ale procesorului,Prin adrese unice,Prin etichete de fișiere,C
66,Un bit reprezintă cea mai mică unitate de informație și poate avea două valori: 0 sau 1.,Ce reprezintă un bit?,O adresă de memorie,O instrucțiune de programare,"Cea mai mică unitate de informație, 0 sau 1",Un registru din procesor,C
67,Un octet (byte) este format din 8 biți și este unitatea de bază pentru reprezentarea caracterelor și datelor.,Câți biți conține un octet?,6,4,8,10,C
68,"Capacitatea memoriei este exprimată în multipli binari: kilobyte (KB), megabyte (MB), gigabyte (GB) etc.",Cum este exprimată capacitatea memoriei unui calculator?,"În multipli binari (KB, MB, GB)","În multipli decimali (1000, 1000000)",În multipli de biți,În multipli de procesor,A
69,Dispozitivele de I/O (input/output) asigură introducerea și extragerea informațiilor din calculator.,Ce rol au dispozitivele de I/O?,Permit comunicarea dintre calculator și mediul extern,Gestionează conexiunile de rețea,Asigură alimentarea cu energie a sistemului,Salvează datele în memoria internă,A
70,"Un exemplu de dispozitiv de intrare este tastatura, iar un exemplu de dispozitiv de ieșire este imprimanta.",Care dintre următoarele este un dispozitiv de ieșire?,Senzorul de mișcare,Tastatura,Imprimanta,Mouse-ul,C
71,Programele reprezintă secvențe de instrucțiuni mașină încărcate în memoria primară pentru execuție.,Ce trebuie să se întâmple cu un program înainte de a fi executat?,Să fie convertit în format grafic,Să fie salvat pe hard disk,Să fie arhivat într-un fișier ZIP,Să fie compilat și încărcat în memoria primară,D
72,"Ciclul instrucțiunii include etapele: preluare (fetch), decodificare (decode) și execuție (execute).",Care este ordinea corectă a etapelor din ciclul instrucțiunii?,Execute → Decode → Fetch,Load → Run → Save,Decode → Fetch → Execute,Fetch → Decode → Execute,D
73,"Sistemele de codificare, precum ASCII sau Unicode, sunt utilizate pentru reprezentarea caracterelor și simbolurilor.",Care este scopul sistemelor de codificare precum ASCII și Unicode?,Reprezintă caractere și simboluri în format binar,Controlează dispozitivele de stocare,Convertesc fișiere audio în text,Optimizează memoria video,A
74,"Sistemul ASCII utilizează 7 biți pentru reprezentarea caracterelor, în timp ce Unicode extinde această reprezentare pentru mai multe limbi.",Care este principala diferență dintre ASCII și Unicode?,ASCII folosește mai mulți biți decât Unicode,"ASCII este utilizat pentru imagini, Unicode pentru text",Unicode este doar o versiune mai veche a ASCII,Unicode suportă mai multe caractere decât ASCII,D
75,"RGB este un sistem de codificare utilizat pentru reprezentarea culorilor pe baza combinației de roșu, verde și albastru.",Ce reprezintă modelul de codificare RGB?,Un sistem de reprezentare a culorilor,O metodă de stocare binară a numerelor,Un model pentru compresia audio,Un algoritm de criptare a datelor,A
76,"Sistemele de numeratie binar, octal, zecimal și hexazecimal sunt utilizate în informatică pentru reprezentarea și conversia valorilor numerice.",Care sistem de numeratie este utilizat intern de calculatoare?,Zecimal,Binar,Octal,Hexazecimal,B
77,Codificarea binară este metoda de bază prin care datele sunt reprezentate în calculatoare.,De ce este importantă codificarea binară în calculatoare?,Pentru că este utilizată doar în limbajul C,Pentru că reflectă modul în care circuitele electronice procesează semnalele,Pentru că reduce consumul de memorie video,Pentru că simplifică programarea web,B
78,"Reprezentarea datelor în memorie se face prin grupuri de biți, organizate în octeți și cuvinte de memorie.",Cum sunt organizate datele în memoria unui calculator?,În instrucțiuni de control,În grupuri de biți și octeți,În adrese de rețea,În fișiere logice,B
79,Unitatea de măsură a capacității de stocare în informatică este byte-ul (B).,Ce unitate de măsură se folosește pentru capacitatea de stocare a datelor?,Ohm (Ω),Byte (B),Hertz (Hz),Volt (V),B
80,Tamponul de intrare/ieșire (buffer) acționează ca intermediar între dispozitivele lente și cele rapide.,Ce rol are tamponul (bufferul) în mecanismele de I/O?,Monitorizează traficul de rețea,Accelerează conversia datelor între dispozitivele lente și cele rapide,Gestionează instrucțiunile procesorului,Controlează unitatea de memorie cache,B
81,Un limbaj de programare este un set de reguli și simboluri folosit pentru a descrie algoritmi și pentru a crea programe executabile.,Ce reprezintă un limbaj de programare?,Un protocol de comunicare între calculatoare,Un sistem de operare pentru compilatoare,Un set de reguli și simboluri utilizat pentru exprimarea algoritmilor,Un tip de fișier binar,C
82,"Limbajele de programare pot fi clasificate în limbaje de nivel jos și limbaje de nivel înalt, în funcție de gradul de abstractizare față de hardware.",După ce criteriu sunt clasificate limbajele de programare?,După culoarea interfeței,După compania producătoare,După modul de afișare a rezultatelor,După gradul de abstractizare față de hardware,D
83,Limbajele de nivel jos sunt apropiate de arhitectura hardware și oferă control direct asupra resurselor sistemului.,Ce caracterizează limbajele de nivel jos?,Sunt folosite doar în aplicații web,Sunt independente de hardware,Oferă control direct asupra resurselor hardware,Au o sintaxă asemănătoare limbajului natural,C
84,Limbajele de nivel înalt sunt mai ușor de înțeles de către oameni și ascund detaliile de implementare hardware.,Ce avantaj oferă limbajele de nivel înalt?,Necesită mai puțină memorie RAM,Acces direct la memorie și registre,Execuție mai rapidă decât cele de nivel jos,Ușurință în scriere și înțelegere de către programatori,D
85,Un compilator traduce întreg codul sursă într-un fișier executabil înainte de rulare.,Ce face un compilator?,Optimizează doar comentariile programului,Traduce întreg codul sursă într-un fișier executabil,Interpretează codul linie cu linie în timpul execuției,Execută instrucțiunile direct din memorie,B
86,"Un interpret execută codul sursă instrucțiune cu instrucțiune, fără a genera un fișier executabil separat.",Cum funcționează un interpret?,Compilând întregul cod înainte de rulare,Creând o arhivă de cod binar,Executând codul sursă linie cu linie,Transformând programul în limbaj de asamblare,C
87,Compilatoarele și interpreții sunt programe esențiale pentru traducerea codului sursă într-o formă pe care procesorul o poate executa.,Care este rolul compilatoarelor și interpreților?,Transformă codul sursă în instrucțiuni mașină executabile,Traduc fișiere text în format binar audio,Optimizează funcțiile matematice ale programului,Crează interfețe grafice pentru utilizatori,A
88,"Un limbaj compilat este de obicei mai rapid la execuție decât unul interpretat, deoarece codul mașină este generat anterior rulării.",Care este principalul avantaj al limbajelor compilate?,Ușurință mai mare în depanare,Portabilitate crescută între sisteme,Nu necesită compilator,Rulare mai rapidă a programelor,D
89,"Un limbaj interpretat este de obicei mai lent, dar permite testarea și modificarea rapidă a codului.",Ce avantaj oferă limbajele interpretate?,Execuție mai rapidă,Consum redus de memorie,Testare și modificare rapidă a codului,Traducere directă în limbaj mașină,C
90,"Paradigma procedurală organizează programul în funcții și proceduri, fiecare având o responsabilitate clară.",Cum este structurat un program procedural?,Prin funcții și proceduri independente,Prin clase și obiecte,Prin fluxuri de date paralele,Prin reguli logice și predicate,A
91,"Limbajul C este un exemplu de limbaj procedural, bazat pe funcții care manipulează datele prin apeluri directe.",Ce tip de paradigmă urmează limbajul C?,Logică,Funcțională,Procedurală,Orientată pe obiecte,C
92,Paradigma orientată pe obiecte (OOP) organizează codul în clase și obiecte care combină date și funcționalitate.,Ce caracterizează paradigma orientată pe obiecte?,Utilizează doar variabile globale,Execută instrucțiunile secvențial,Împarte codul în funcții independente,Organizează codul în clase și obiecte,D
93,O clasă definește structura și comportamentul obiectelor care vor fi create pe baza ei.,Ce reprezintă o clasă într-un limbaj orientat pe obiecte?,O colecție de funcții fără date,O funcție globală,Un șablon pentru crearea obiectelor,Un tip special de fișier executabil,C
94,"Un obiect este o instanță a unei clase, având propriile valori pentru atributele definite.",Ce este un obiect într-un limbaj orientat pe obiecte?,O metodă globală,O interfață de programare,O instanță a unei clase cu date proprii,O clasă abstractă,C
95,"Encapsularea este principiul prin care datele și funcțiile aferente sunt grupate într-o singură entitate, ascunzând detaliile interne.",Ce reprezintă principiul de encapsulare?,Separarea completă a codului de date,Ascunderea detaliilor interne într-o clasă,Transmiterea datelor între clase,Optimizarea codului sursă,B
96,"Moștenirea permite crearea de clase noi pe baza unor clase existente, reutilizând codul și extinzând funcționalitatea.",Ce permite principiul de moștenire în OOP?,Crearea de interfețe grafice,Crearea de variabile locale noi,Definirea de funcții recursive,Crearea de clase noi pe baza unor clase existente,D
97,"Polimorfismul permite folosirea acelorași metode în contexte diferite, adaptând comportamentul în funcție de tipul obiectului.",Ce reprezintă polimorfismul?,Crearea unui singur tip de clasă globală,Crearea unei structuri de date statice,Folosirea acelorași metode în contexte diferite,Executarea secvențială a codului,C
98,"Paradigma funcțională se bazează pe concepte matematice, tratând funcțiile ca entități de bază.",Pe ce principii se bazează paradigma funcțională?,Pe clase și moștenire,Pe execuția paralelă a codului,Pe funcții matematice pure fără efecte secundare,Pe structuri de control iterative,C
99,"Paradigma logică folosește reguli și fapte pentru a deduce soluții, fiind utilizată în limbaje precum Prolog.",Cum funcționează paradigma logică în programare?,Prin utilizarea de variabile globale,Prin moștenirea multiplă,Prin executarea liniară a instrucțiunilor,Prin deducerea soluțiilor din reguli și fapte,D
100,"Limbajele multi-paradigmă, precum Python și C++, permit combinarea mai multor stiluri de programare.",Ce caracterizează limbajele multi-paradigmă?,Sunt specifice arhitecturilor embedded,Sunt folosite exclusiv pentru aplicații grafice,Acceptă doar cod procedural,Permit combinarea mai multor paradigme de programare,D
101,Un compilator poate efectua optimizări de cod pentru a crește performanța programelor compilate.,Ce rol au optimizările realizate de compilator?,Simplifică interfața grafică a programului,Elimină funcțiile publice,Adaugă comentarii în fișierul sursă,Îmbunătățesc viteza și eficiența codului executabil,D
102,"Un limbaj interpretat, precum Python, oferă flexibilitate, dar are un timp de execuție mai mare comparativ cu unul compilat.",De ce limbajele interpretate sunt mai lente?,Pentru că stochează codul în format binar,Pentru că sunt scrise în C++,Pentru că traduc și execută instrucțiunile în același timp,Pentru că rulează fără memorie RAM,C
103,"Preprocesorul C este o componentă care execută directivele înainte de compilare, cum ar fi #include sau #define.",Ce rol are preprocesorul în limbajul C?,Procesează directivele speciale înainte de compilare,Gestionează memoria dinamică,Execută programul înainte de compilare,Generează automat funcțiile principale,A
104,Linker-ul este programul care combină fișierele obiect rezultate din compilare într-un fișier executabil final.,Ce face linker-ul în procesul de compilare?,Analiza sintaxei programului,Combinarea fișierelor obiect într-un executabil,Eliminarea comentariilor din cod,Traducerea codului sursă în cod intermediar,B
105,"Procesul complet de construire a unui program C implică etapele: preprocesare, compilare, asamblare și linking.",Care este ordinea corectă a etapelor de construire a unui program C?,Preprocesare → Compilare → Asamblare → Linking,Asamblare → Linking → Compilare → Preprocesare,Preprocesare → Asamblare → Linking → Execuție,Compilare → Linking → Preprocesare → Asamblare,A
106,O structură de date este o modalitate de organizare și stocare a datelor pentru a permite accesul și modificarea eficientă a acestora.,Ce reprezintă o structură de date?,Un algoritm de sortare a datelor,O modalitate de organizare și stocare eficientă a datelor,Un program care afișează informații,Un fișier text care conține date brute,B
107,"Structurile de date pot fi liniare sau neliniare, în funcție de modul în care elementele sunt organizate.",Cum sunt clasificate structurile de date?,După limbajul de programare folosit,După tipul de procesor utilizat,În funcție de ordinea și relațiile dintre elemente,După dimensiunea memoriei ocupate,C
